Timestamp,Temperature(oc),Humidity(%),Light(lux),Motion Detected
2024-03-25_15-02-57,0,0,940,False
2024-03-25_15-03-13,0,0,945,False
2024-03-25_15-04-37,0,0,4963,True
2024-05-03_17-13-30,0,0,1319,False
2024-05-03_17-20-31,0,0,1296,True
2024-05-03_17-24-03,0,0,1303,True
2024-05-03_17-25-33,0,0,1294,True
2024-05-03_17-31-52,49,20,1289,True
2024-05-03_17-43-54,49,20,1283,True
2024-05-03_17-46-44,49,20,1297,True
2024-05-03_17-50-11,49,20,1308,True
2024-05-03_17-58-21,49,20,1333,False
2024-05-03_18-04-30,49,20,1343,True
